route_id,origin_city,origin_code,dest_city,dest_code,departure_date,cabin_class,total_flights,min_price_vnd,max_price_vnd,avg_price_vnd,airlines_count,airlines_list,fastest_duration
SGN_DAD_Economy_20260918,Ho Chi Minh City,SGN,Da Nang,DAD,2026-09-18,Economy,20,1396666,1809003,1617056,4,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines, Vietravel Airlines",1h 20m
SGN_DAD_PremiumEconomy_20260918,Ho Chi Minh City,SGN,Da Nang,DAD,2026-09-18,PremiumEconomy,17,2791364,9524723,4874868,2,"VietJet Air, Sun PhuQuoc Airways",1h 15m
SGN_DAD_Business_20260918,Ho Chi Minh City,SGN,Da Nang,DAD,2026-09-18,Business,15,3372570,9256912,4957749,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",1h 20m
SGN_HAN_Economy_20260918,Ho Chi Minh City,SGN,Hanoi,HAN,2026-09-18,Economy,20,2203938,3523063,3089270,4,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines, Vietravel Airlines",2h 10m
SGN_HAN_PremiumEconomy_20260918,Ho Chi Minh City,SGN,Hanoi,HAN,2026-09-18,PremiumEconomy,20,4612317,9496475,6487168,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",2h 5m
SGN_HAN_Business_20260918,Ho Chi Minh City,SGN,Hanoi,HAN,2026-09-18,Business,20,5761979,10073173,7306902,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",2h 10m
SGN_CXR_Economy_20260918,Ho Chi Minh City,SGN,Nha Trang,CXR,2026-09-18,Economy,20,1104148,5338423,3756777,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",1h 5m
SGN_CXR_Business_20260918,Ho Chi Minh City,SGN,Nha Trang,CXR,2026-09-18,Business,4,4101330,5024865,4793981,1,Vietnam Airlines,1h 5m
SGN_DLI_Economy_20260918,Ho Chi Minh City,SGN,Dalat,DLI,2026-09-18,Economy,19,1124690,9614473,5486514,2,"VietJet Air, Vietnam Airlines",0h 55m
SGN_DLI_PremiumEconomy_20260918,Ho Chi Minh City,SGN,Dalat,DLI,2026-09-18,PremiumEconomy,2,1794214,5014223,3404218,1,VietJet Air,0h 55m
SGN_DLI_Business_20260918,Ho Chi Minh City,SGN,Dalat,DLI,2026-09-18,Business,5,2668633,6283881,5015989,1,Vietnam Airlines,0h 55m
