property_id,item_type,group_or_category,name,tooltip
18170457,HIGHLIGHT,topic-highlight,Great breakfast,"Breakfast buffet receives frequent praise for wide variety, fresh options, and good quality Vietnamese and Western dishes; coffee machine can get busy at peak times."
18170457,HIGHLIGHT,topic-highlight,Highly-rated bar,"Rooftop bar and on-site bar draw compliments for views, cocktail quality, and a daily happy hour, with a 24/7 bar mentioned by some guests."
18170457,HIGHLIGHT,topic-highlight,Excellent fitness facilities,"Gym and fitness room see positive mentions for being functional and 24/7 accessible, with sufficient equipment for general workouts."
18170457,HIGHLIGHT,topic-highlight,Professional guest services,"Front-desk and service staff repeatedly earn praise for friendliness, helpfulness, and proactive assistance with bookings, directions, and requests."
18170457,HIGHLIGHT,topic-highlight,Highly reviewed check-in/out,"24-hour check-in/check-out policy allows a full 24 hours from time of arrival, letting guests check out exactly at their check-in time (very useful for late arrivals and departures)."
18170457,HIGHLIGHT,topic-highlight,Sparkling clean,"Rooms and public areas receive frequent positive comments for cleanliness, with many guests describing rooms as spotless or 'squeaky clean.'"
18170457,HIGHLIGHT,topic-highlight,Highly rated by business travelers,
18170457,HIGHLIGHT,topic-highlight,Comfortable mattresses,
18170457,HIGHLIGHT,topic-highlight,Top property facilities,
18170457,HIGHLIGHT,topic-highlight,Top value,"Many guests describe the hotel as good value for money thanks to location, facilities, and the 24‑hour stay policy, while others still call the price reasonable for what’s offered."
18170457,HIGHLIGHT,property-facility,Airport transfer,"Airport transfer available at additional charge. To request, check the box on the booking form just before the payment page."
18170457,HIGHLIGHT,property-facility,Free Wi-Fi in all rooms!,
18170457,HIGHLIGHT,property-facility,Daily housekeeping,
18170457,HIGHLIGHT,property-facility,Bar,
18170457,HIGHLIGHT,property-facility,Nightclub,
18170457,HIGHLIGHT,property-facility,Concierge,
18170457,HIGHLIGHT,room-facility,Air conditioning,
18170457,HIGHLIGHT,room-facility,Mini bar,
18170457,HIGHLIGHT,property-facility,Check-in/out [express],
18170457,HIGHLIGHT,property-facility,Elevator,
18170457,FACILITY,Languages spoken,English,
18170457,FACILITY,Languages spoken,Chinese [Mandarin],
18170457,FACILITY,Languages spoken,German,
18170457,FACILITY,Languages spoken,Japanese,
18170457,FACILITY,Languages spoken,Korean,
18170457,FACILITY,Languages spoken,Malay,
18170457,FACILITY,Languages spoken,Spanish,
18170457,FACILITY,Languages spoken,Vietnamese,
18170457,FACILITY,Accessibility,On-site accessible restaurants / lounges,
18170457,FACILITY,Accessibility,Wheelchair accessible,
18170457,FACILITY,Internet access,Free Wi-Fi in all rooms!,
18170457,FACILITY,Internet access,Internet,
18170457,FACILITY,Internet access,Internet [LAN],
18170457,FACILITY,Internet access,Internet services,
18170457,FACILITY,Internet access,Wi-Fi in public areas,
18170457,FACILITY,"Things to do, ways to relax",Fitness center,
18170457,FACILITY,"Things to do, ways to relax",Garden,
