property_id,distance_to_beach_km,distance_to_center_km,airport_score,poi_score,transportation_score,nearby_place_name,nearby_place_type,nearby_distance_km,duration_minutes
18170457,,0.48,8.8,9.1,9.2,The Venerable Thich Quang Duc Monument,Monuments and Landmarks,0.14,
18170457,,0.48,8.8,9.1,9.2,Chua Ngoc Hoang,Places of Worship,0.28,
18170457,,0.48,8.8,9.1,9.2,Emperor Jade Pagoda,Places of Worship,0.28,
18170457,,0.48,8.8,9.1,9.2,TT Bảo Vệ Sức Khoẻ Lao Động,Hospitals and Medical Facilities,0.3,
18170457,,0.48,8.8,9.1,9.2,Gach Trang Tri Italy,Shopping Centers and Areas,0.34,
18170457,,0.48,8.8,9.1,9.2,Saigon Yoga,Fitness and Yoga Centers,0.36,
18170457,,0.48,8.8,9.1,9.2,Hoa Lu Stadium,Entertainment,0.4,
18170457,,0.48,8.8,9.1,9.2,Kho Fahasa,"Botanical Gardens, and Public Parks",0.41,
18170457,,0.48,8.8,9.1,9.2,Nhà thi đấu Hoa Lư,Entertainment,0.41,
18170457,,0.48,8.8,9.1,9.2,Rubik Zoo,Zoos and Aquariums,0.51,
55765781,,0.0,7.1,9.9,9.2,The Maydo Bespoke Tailor,Shopping Centers and Areas,0.03,
55765781,,0.0,7.1,9.9,9.2,Blue Space Art Gallery,Shopping Centers and Areas,0.07,
55765781,,0.0,7.1,9.9,9.2,Lacquer & Oil,Shops,0.09,
55765781,,0.0,7.1,9.9,9.2,Antique Street – Le Cong Kieu,Shopping Centers and Areas,0.09,
55765781,,0.0,7.1,9.9,9.2,Fine Arts Museum,Museums and Art Galleries,0.09,
55765781,,0.0,7.1,9.9,9.2,Mrs Hà,Hospitals and Medical Facilities,0.1,
55765781,,0.0,7.1,9.9,9.2,Nguyen Thai Binh Street,Famous Streets and Neighborhoods,0.1,
55765781,,0.0,7.1,9.9,9.2,Kool Beer Store,Bars,0.14,
55765781,,0.0,7.1,9.9,9.2,Old Market,Fresh Markets,0.23,
55765781,,0.0,7.1,9.9,9.2,Emergency Centre,Police and Emergency,0.26,
35417217,,,7.8,6.6,9.7,My Kim Apartment,Supermarkets,0.13,
35417217,,,7.8,6.6,9.7,Zakka mart Rivesive,Supermarkets,0.32,
35417217,,,7.8,6.6,9.7,Siêu Thị Sala,Supermarkets,0.62,
35417217,,,7.8,6.6,9.7,Nhà Thuốc Báo Phương,Hospitals and Medical Facilities,0.94,
35417217,,,7.8,6.6,9.7,Siêu Thị Mini Bình Minh,Supermarkets,1.35,
35417217,,,7.8,6.6,9.7,Vietnam House,Museums and Art Galleries,1.36,
35417217,,,7.8,6.6,9.7,Consulate General of Sweden,Embassies and Consulates,1.38,
