property_id,hotel_name,default_name,property_type,accommodation_type,stars,is_luxury,address_line,area_name,area_id,city_name,city_id,country_name,postal_code,latitude,longitude,year_opened,number_of_rooms,number_of_floors,check_in_from,check_out_until,breakfast_charge,airport_transfer_fee,gold_circle_award_year,today_booking,booking_count_last_24h,recommendation_score,main_image_url
18170457,"Wink Saigon Centre, Unscripted by Hyatt - 24 hours stay","Wink Saigon Centre, Unscripted by Hyatt - 24 hours stay",Hotel,Hotel,4.0,False,"75 Nguyen Binh Khiem, Tan Dinh Ward, Ho Chi Minh City, VietNam",District 1,93586,Ho Chi Minh City,13170,Vietnam,70000,10.791301727294922,106.70046997070312,2021,237,11,12:00,12:00,400000 VND,400000 VND,2025,Booked 5 times today,,,https://pix8.agoda.net/hotelImages/83513337/0/741897e72fd15bf3834be1100cfc3fec.jpeg?ce=3&s=1024x768
55765781,Grandma Lu's Saigon Signature,Grandma Lu's Saigon Signature,Hotel,Hotel,1.0,False,"No. 50, Nguyen Thai Binh Street, Nguyen Thai Binh Ward, Vietnam",District 1,93586,Ho Chi Minh City,13170,Vietnam,700000,10.7696599960327,106.69995880127,2024,37,5,14:00,12:00,,350000 VND,2025,Booked 24 times today,,,https://pix8.agoda.net/hotelImages/55765781/0/3428c8ba86fb1f0599ddd93809255f8c.png?ce=3&s=1024x768
35417217,Palette Amura Hotel - Near Gigamall,Palette Amura Hotel - Near Gigamall,Hotel,Hotel,2.0,False,18 Hiep Binh Chanh Ward,Thủ Đức,482413,Ho Chi Minh City,13170,Vietnam,70000,10.824762344360352,106.71930694580078,2025,50,2,14:00,12:00,,,,Booked 5 times today,,,https://pix8.agoda.net/hotelImages/35417217/0/74c9734e52e4b43d7144913c20e48cae.png?ce=3&s=1024x768
10983,Eastin Grand Hotel Saigon,Eastin Grand Hotel Saigon,Hotel,Hotel,5.0,False,"253 Nguyen Van Troi Street, Phu Nhuan District ",Phú Nhuận,93597,Ho Chi Minh City,13170,Vietnam,                    ,10.79656,106.673288,,268,7,14:00,12:00,440000 VND,22 VND,,Booked 16 times today,,,https://pix8.agoda.net/hotelImages/10983/-1/8554bc906dfefbbbce304d1c4e48116a.jpg?ce=0&s=1024x768
2235563,VyDa Backpacker Hostel,VyDa Backpacker Hostel,Hotel,Hostel,0.0,False,33D Đ. Nguyễn Trung Trực,District 1,93586,Ho Chi Minh City,13170,Vietnam,711045,10.775046120811558,106.69770106674605,2017,4,3,14:00,12:00,0 VND,,,Booked 4 times today,,,https://pix8.agoda.net/hotelImages/2235563/-1/438665a8cc94618dbce5d2cc860ffec7.jpg?ce=0&s=1024x768
34480840,9 Hostel and Suites,9 Hostel and Suites,Hotel,Hostel,3.0,False,90 Lê Lai,District 1,93586,Ho Chi Minh City,13170,Vietnam,7000000,10.7701588,106.693634,2021,49,7,14:00,11:30,0 VND,,,Booked 21 times today,,,https://pix8.agoda.net/hotelImages/34480840/0/32b2aa146f3add3d9a736265816c205d.jpg?ce=0&s=1024x768
37272417,Grandma Lu's Saigon Japan Town,Grandma Lu's Saigon Japan Town,Hotel,Hotel,1.0,False,18 Thái Văn Lung,District 1,93586,Ho Chi Minh City,13170,Vietnam,700000,10.7800789,106.7039,2023,22,4,14:00,12:00,,,,Booked 3 times today,,,https://pix8.agoda.net/hotelImages/37272417/0/2643bf9986dbb49d699b1ce0ac938a15.png?ce=3&s=1024x768
90004172,The Signature Boutique Hotel Saigon,The Signature Boutique Hotel Saigon,Hotel,Hotel,4.0,False,"47 - 49 Truong Dinh Street, Xuan Hoa Ward",District 3,31585,Ho Chi Minh City,13170,Vietnam,700000,10.776769,106.69074,,1,,14:00,12:00,,,,Booked 10 times today,,,https://pix8.agoda.net/hotelImages/90004172/0/129d3229b589030e9cdb6f2c3126d845.jpg?ce=3&s=1024x768
41306301,The Concept Hotel HCMC- District 1,The Concept Hotel HCMC- District 1,Hotel,Hotel,4.0,False,13 Nguyễn Thái Học ,District 1,93586,Ho Chi Minh City,13170,Vietnam,710000,10.764161109924316,106.69744110107422,2023,22,5,14:00,12:01,,,,Booked 6 times today,,,https://pix8.agoda.net/hotelImages/41306301/-1/be46a8f9d41ed26be92b570888feeafe.jpg?ce=0&s=1024x768
4972275,9 Hostel and Bar,9 Hostel and Bar,Hotel,Hostel,3.0,False,9 Bui Thi Xuan,District 1,93586,Ho Chi Minh City,13170,Vietnam,,10.772370964093982,106.69095821678638,2015,10,6,14:00,11:00,,,,Booked 25 times today,,,https://pix8.agoda.net/hotelImages/4972275/-1/8b017143586b6ec9ca3ae73306cdc4b5.jpg?ce=0&s=1024x768
