property_id,overall_score,review_count,score_cleanliness,score_facilities,score_location,score_staff,score_value_for_money,count_exceptional,count_excellent,count_very_good,count_good,count_below_expectation,sample_customer_reviews
18170457,8.8,7468,9.3,8.8,8.8,9.4,9.0,2962,893,249,180,154,"[10.0/10] REVATHY: ""The hotel features everything you need for a seamless stay."" || [7.6/10] Chaoran: ""Everything is excellent especially the design is good!"" || [10.0/10] Pinkle: ""The first glimpse was such a beautiful huge modern building."" || [10.0/10] Xena: ""Kudos to Mr. Mako of that night who assisted us on check in."" || [9.2/10] Hway Sin: ""Rooms are small but nicely designed, clean and comfortable."" || [10.0/10] Dennis: ""Great location close to everything you want in District 1."" || [10.0/10] Benjamin: ""Facilities are exceptionally clean and perfect!"" || [10.0/10] RUDIGER: ""Came back after 3 days same room as I requested"" || [9.6/10] Emanuele: ""Everything is new and the staff is very cool."" || [10.0/10] Daniella Camille: ""One of the best hotels I’ve stayed in while in Saigon!"""
55765781,8.1,2248,8.0,7.6,9.2,7.8,8.4,785,385,154,147,213,"[10.0/10] MARJORIE: ""Than kyou for a clean room and accesible place and safe too."" || [10.0/10] Gabriel: ""I’ll definitely book it again when I’m back in Saigon."" || [10.0/10] Mirajoy Sandra: ""I absolutely loved my stay at Grandma Lu's Saigon Signature."" || [10.0/10] Muhamad: ""Best accommodation in Ho Chi Minh for solo Muslim backpacker"" || [10.0/10] Philipp: ""It is clean and the style is wooden, clear, warm and nice."" || [8.4/10] Noelia: ""The room was practically sound proof and perfect to rest."" || [8.8/10] Rachel: ""But overall, it was really good place to stay in Saigon."" || [7.6/10] XIANFENG: ""Our room was pristine, spacious, and so cozy."" || [10.0/10] 가을: ""If I come to Ho Chi Minh City again, I will stay here!"" || [8.0/10] Dawn: ""Within walking distance to main attractions in HCMC."""
35417217,7.5,238,6.6,6.7,7.9,8.3,7.3,36,10,5,12,25,
10983,8.7,8790,9.0,8.7,8.5,9.0,8.8,2825,1322,396,287,188,"[8.8/10] Paul: ""Staff were exceptional, friendly and super helpful."" || [10.0/10] Long: ""Honourable mentions: Cường, Trí , Quang, Duyên at reception."" || [10.0/10] Phan: ""I am always so happy to stay here whenever I travel to HCMC."" || [10.0/10] Tasha: ""Staff speaks great English and very attentive to our needs."" || [8.0/10] Lars: ""Great hotel with friendly staff near tan son nhat airport."" || [8.8/10] Lars: ""Friendly staff, clean rooms and located close to airport."" || [10.0/10] Quan: ""Great breakfast with variety of Western and Viet cuisine"" || [9.2/10] Muhammad: ""Affordable price, very helpful staff and great location."" || [10.0/10] JAE HWAN: ""Everything was perfect during staying in this hotel.."" || [8.0/10] John: ""But all the staff recognized me and the welcome was amazing."""
2235563,8.6,3420,8.4,8.1,9.2,8.8,8.9,749,266,79,84,90,"[8.4/10] Alvin: ""Bed was comfortable and the dorm room is spacious and neat."" || [10.0/10] Nacer: ""I really appreciated their kindness and excellent service."" || [9.6/10] Daryl: ""The bathrooms were also clean, which I really appreciated."" || [10.0/10] ALEKOS: ""Cleaning lady is amazing keeps everything very clean,"" || [10.0/10] Subhrajit: ""Location is perfect everything is in few minutes walk"" || [10.0/10] Gabrielle: ""Walking distance from most of the tourist spots around HCM."" || [9.2/10] Yolande: ""The bathrooms are spacious and clean with shampoo and soap."" || [9.2/10] Leonardo Joshua: ""Clean bathrooms and you have got some privacy on your bed."" || [10.0/10] Helen: ""The hostel is perfectly located at the heart of the city."" || [10.0/10] Rani: ""The place was clean and the staff was also kind"""
34480840,8.3,2832,8.0,7.8,9.3,8.6,8.6,1196,472,190,180,226,"[10.0/10] Renee: ""My boss recommended this hotel and we had the greatest stay."" || [7.6/10] Leah: ""We booked a private twin room and loved how spacious it was."" || [7.6/10] Jessa: ""Walking distance to the central, ben than, shopping streets."" || [10.0/10] Fitri: ""This isn't just a place to sleep; it's a place with a heart."" || [9.2/10] Marvin: ""I would definitely recommend it to anyone visiting the area."" || [10.0/10] Nattapon: ""I enjoyed staying here a lot, good location and nice staff."" || [8.8/10] PHONG: ""The staff is great. The lady was very friendly and helpful."" || [10.0/10] ANJALI: ""The bathroom facilities were clean and comfortable to use."" || [9.6/10] Vinhz: ""The staff are kind and accommodating to guests' requests."" || [10.0/10] Linda: ""The staff is great, cheerful accommodating and helpful."""
37272417,8.4,2283,8.4,8.0,9.2,8.5,8.8,911,375,128,119,120,"[10.0/10] Jessica: ""Very clean, nice showers and common bathroom overall."" || [8.8/10] Yoshio Seisuke: ""You get your own bed in a small air conditioned room."" || [10.0/10] Mark Lloyd: ""I can't express on how satisfied I am staying here."" || [10.0/10] John Lester: ""Wi-Fi is fast and reliable, which is a must for remote work."" || [8.4/10] Hoà: ""The facilities was nice and they served good food there too."" || [10.0/10] JAVIER: ""There is EXCELLENT ventilation and temperature in the room."" || [10.0/10] Samir: ""The room is spacious enough for a solo traveler like me."" || [10.0/10] Vũ: ""Sanitary is great and the customer service is excellent."" || [10.0/10] Elreen: ""The room may be small, but incredibly cozy and clean."" || [9.2/10] Myra: ""The location, staff and hotel cleanliness is awesome!"""
90004172,9.4,269,9.8,9.5,9.6,9.8,9.6,205,21,4,2,1,"[10.0/10] Lâm: ""I had a wonderful stay at this newly opened hotel."" || [10.0/10] Cat: ""The rooms are modern, beautifully designed, and super quiet."" || [10.0/10] Thodsapong: ""She made everything smooth and ensured I had a great stay."" || [10.0/10] Carla: ""The staff are absolutely amazing, and it’s very clean."" || [10.0/10] Lee: ""Clean, friendly & helpful staff, room is comfortable."" || [10.0/10] Piyatida: ""The staff, Joyce she’s so nice and helping me a lot."" || [10.0/10] Quỳnh Anh : ""Room is clean, nice, great view and hospitality from Tran."" || [10.0/10] Victor: ""Staff are very well trained and provide excellent service."" || [9.2/10] gunjan: ""The boy on the reception was extra courteous and helpful"" || [10.0/10] Warin: ""The staff were friendly and helpful throughout our stay."""
41306301,8.8,1815,9.3,8.9,8.4,9.4,9.1,1004,238,90,66,66,"[10.0/10] Gunnar: ""We really appreciated the free self-service laundry room."" || [10.0/10] Lim: ""The room has everything we needed coffee tea hair dryer"" || [10.0/10] Dawid: ""It’s clean, central, and, most importantly, quiet."" || [9.6/10] Shane: ""I would stay here again because it is solid value for money."" || [9.6/10] Jarek: ""Beautiful, modern, clean and well equipped hotel."" || [10.0/10] Autcharaporn: ""Room super comfortable, beautiful, the price is reasonable."" || [9.6/10] Michelle: ""I would definitely stay again if I ever travel back to HCM!"" || [9.2/10] Brook: ""It was so hot and humid in HCM this hotel was my sanctuary."" || [10.0/10] TUNCHANOK: ""The room was extremely clean, as clean as a 5-star hotel."" || [9.2/10] nguyen: ""Staff - excellent!! Hien & Truc are super helpful & kind."""
4972275,8.5,3079,8.3,8.1,9.1,8.8,8.8,1446,529,220,151,196,"[8.8/10] Higor: ""The staff was very friendly and always willing to help."" || [8.8/10] Catherine: ""Great location and the staff are friendly and helpful"" || [10.0/10] Shamrat: ""There staff, environment, cleanliness everything is perfect."" || [10.0/10] Dexter: ""Clean, comfortable rooms and super helpful staff."" || [10.0/10] Rumer: ""I am very grateful that I stayed at this hostel for 7 days."" || [9.2/10] Calcifer: ""This hotel is good value for money and has good facilities."" || [10.0/10] Joey: ""Perfect location. You can reach major attractions on foot."" || [10.0/10] dias: ""Super recommended place to stay especially solo traveller."" || [10.0/10] Tiffany: ""The bed was actually super comfy the mattress was so soft."" || [7.6/10] Britta: ""The Price is unbeatable and what you get for it is Great!"""
