property_id,name,stars,accommodation_type,property_type,city,area,average_price_vnd,review_score,review_count,recommendation_score,customer_reviews,facilities,hotel_url,image_url
18170457,"Wink Saigon Centre, Unscripted by Hyatt - 24 hours stay",4.0,34,Hotel,Ho Chi Minh City,District 1,2834526,8.8,7452,88,"[10.0/10] REVATHY (Malaysia, Couple): ""The hotel features everything you need for a seamless stay."" || [7.6/10] Chaoran (中国, Business traveler): ""Everything is excellent especially the design is good!"" || [10.0/10] REVATHY (Malaysia, Couple): ""Wink Hotel offers fantastic value for money.""",Free Wi-Fi ; Free parking; Front desk [24-hour]; Fitness center; Restaurants; Bar; Yoga room; Airport transfer,https://www.agoda.com/wink-hotel-saigon-centre/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/83513337/0/741897e72fd15bf3834be1100cfc3fec.jpeg?ce=3
55765781,Grandma Lu's Saigon Signature,1.0,34,Hotel,Ho Chi Minh City,District 1,381026,8.1,2235,,"[10.0/10] MARJORIE (Philippines, Solo traveler): ""Than kyou for a clean room and accesible place and safe too."" || [10.0/10] Gabriel (Philippines, Solo traveler): ""I’ll definitely book it again when I’m back in Saigon."" || [10.0/10] Mirajoy Sandra (Philippines, Solo traveler): ""I absolutely loved my stay at Grandma Lu's Saigon Signature.""",Free Wi-Fi ; Check-in [24-hour]; Restaurants; Shuttle service; Balcony/terrace; Breakfast; Paid parking available; Laundry,https://www.agoda.com/grandma-lu-saigon-ben-thanh-market/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/55765781/0/3428c8ba86fb1f0599ddd93809255f8c.png?ce=3
35417217,Palette Amura Hotel - Near Gigamall,2.0,34,Hotel,Ho Chi Minh City,Thủ Đức,278210,7.4,228,,,Free Wi-Fi ; Free parking; Front desk [24-hour]; Family room; Luggage storage; Room service; Non-smoking rooms; Daily housekeeping,https://www.agoda.com/amura-hotel-th-d-c/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/35417217/0/74c9734e52e4b43d7144913c20e48cae.png?ce=3
10983,Eastin Grand Hotel Saigon,5.0,34,Hotel,Ho Chi Minh City,Phú Nhuận,3616952,8.7,8801,85,"[8.8/10] Paul (Ireland, Solo traveler): ""Staff were exceptional, friendly and super helpful."" || [10.0/10] Long (Vietnam, Group): ""Honourable mentions: Cường, Trí , Quang, Duyên at reception."" || [10.0/10] Phan (Vietnam, Business traveler): ""I am always so happy to stay here whenever I travel to HCMC.""",Free Wi-Fi ; Swimming pool; Free parking; Spa; Front desk [24-hour]; Fitness center; Restaurants; Bar,https://www.agoda.com/eastin-grand-hotel-saigon/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/10983/-1/8554bc906dfefbbbce304d1c4e48116a.jpg?ce=0
2235563,VyDa Backpacker Hostel,0.0,33,Hotel,Ho Chi Minh City,District 1,,8.6,3404,83,"[8.4/10] Alvin (Malaysia, Solo traveler): ""Bed was comfortable and the dorm room is spacious and neat."" || [9.6/10] Daryl (Philippines, Solo traveler): ""The bathrooms were also clean, which I really appreciated."" || [10.0/10] ALEKOS (Thailand, Solo traveler): ""Cleaning lady is amazing keeps everything very clean,""",Free Wi-Fi ; Car park; Front desk [24-hour]; Restaurants; Airport transfer; Luggage storage; Breakfast; Room service,https://www.agoda.com/vyda-backpacker-hostel/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/2235563/-1/438665a8cc94618dbce5d2cc860ffec7.jpg?ce=0
34480840,9 Hostel and Suites,3.0,33,Hotel,Ho Chi Minh City,District 1,364913,8.3,2821,,"[10.0/10] Renee (Philippines, Couple): ""My boss recommended this hotel and we had the greatest stay."" || [9.2/10] Marvin (Philippines, Couple): ""I would definitely recommend it to anyone visiting the area."" || [10.0/10] Fitri (Indonesia, Group): ""This isn't just a place to sleep; it's a place with a heart.""",Free Wi-Fi ; Front desk [24-hour]; Airport transfer; Luggage storage; Balcony/terrace; Tours; Laundry; Locker,https://www.agoda.com/9-hostel-and-suites/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/34480840/0/32b2aa146f3add3d9a736265816c205d.jpg?ce=0
37272417,Grandma Lu's Saigon Japan Town,1.0,34,Hotel,Ho Chi Minh City,District 1,418611,8.4,2269,,"[10.0/10] Jessica (Russia, Solo traveler): ""Very clean, nice showers and common bathroom overall."" || [8.8/10] Yoshio Seisuke (Japan, Solo traveler): ""You get your own bed in a small air conditioned room."" || [10.0/10] Mark Lloyd (Philippines, Solo traveler): ""I can't express on how satisfied I am staying here.""",Free Wi-Fi ; Free parking; Front desk [24-hour]; Restaurants; Luggage storage; Rooftop area; Breakfast takeaway service; Taxi service,https://www.agoda.com/grandma-lu-h36209150/hotel/ho-chi-minh-city-vn.html,https://q-xx.bstatic.com/xdata/images/hotel/max500/895899878.jpg?k=00e792136803d5ed8b57d75084487ffabc45d38c7751180c56db41cfd707b6db&o=
90004172,The Signature Boutique Hotel Saigon,4.0,34,Hotel,Ho Chi Minh City,District 3,,9.4,240,95,"[10.0/10] Cat (Canada, Family with young children): ""The rooms are modern, beautifully designed, and super quiet."" || [10.0/10] Lâm (Việt Nam, Couple): ""I had a wonderful stay at this newly opened hotel."" || [10.0/10] Lâm (Việt Nam, Couple): ""Everything is clean, modern, and well maintained.""",Free Wi-Fi ; Front desk [24-hour]; Luggage storage; Laundry; Smoke-free property; Daily housekeeping; Air conditioning in public area; Elevator,https://www.agoda.com/the-signature-boutique-hotel-saigon-h89979056/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/90004172/0/129d3229b589030e9cdb6f2c3126d845.jpg?ce=3
41306301,The Concept Hotel HCMC- District 1,4.0,34,Hotel,Ho Chi Minh City,District 1,1522205,8.8,1806,86,"[10.0/10] Gunnar (Vietnam, Couple): ""We really appreciated the free self-service laundry room."" || [10.0/10] Lim (Singapore, Couple): ""The room has everything we needed coffee tea hair dryer"" || [10.0/10] Gunnar (Vietnam, Couple): ""The room was big, comfortable and very clean.""",Free Wi-Fi ; Front desk [24-hour]; Family room; Luggage storage; Balcony/terrace; Room service; Laundry; Safety deposit boxes,https://www.agoda.com/the-concept-hotel-hcmc-district-1/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/41306301/-1/be46a8f9d41ed26be92b570888feeafe.jpg?ce=0
4972275,9 Hostel and Bar,3.0,33,Hotel,Ho Chi Minh City,District 1,285329,8.5,3074,,"[8.8/10] Higor (Brazil, Group): ""The staff was very friendly and always willing to help."" || [8.8/10] Catherine (Canada, Solo traveler): ""Great location and the staff are friendly and helpful"" || [10.0/10] Shamrat (India, Solo traveler): ""There staff, environment, cleanliness everything is perfect.""",Free Wi-Fi ; Front desk [24-hour]; Restaurants; Bar; Luggage storage; Garden; Room service; Salon,https://www.agoda.com/9-hostel-and-bar/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/4972275/-1/8b017143586b6ec9ca3ae73306cdc4b5.jpg?ce=0
80114585,PureJoy Hotel Saigon - Premium,4.0,34,Hotel,Ho Chi Minh City,District 1,1854361,8.8,614,86,"[10.0/10] Nguyễn (Việt Nam, Couple): ""What really stood out was the friendly and welcoming staff."" || [10.0/10] Chenyi (中国, Couple): ""Their excellent service made our stay even more enjoyable."" || [10.0/10] Nguyễn (Việt Nam, Couple): ""My room was spotlessly clean and very comfortable.""",Free Wi-Fi ; Front desk [24-hour]; Restaurants; Luggage storage; Laundry; Non-smoking rooms; Daily housekeeping; Convenience store,https://www.agoda.com/purejoy-hotel-saigon-premium-japanese-street-h79526642/hotel/ho-chi-minh-city-vn.html,https://pix8.agoda.net/hotelImages/80114585/0/aaf98ae49800adf0089f90e799f2fcd1.jpg?ce=3
