run_id,entity_id,source_url,room_id,name,details,area_m2,max_adults,max_children,bed_description,view,extra_bed_allowed,extra_bed_count,image_urls
80c248dd5eb3,025416558ee11fc3f41814a0,https://www.bestprice.vn/khach-san/muong-thanh-holiday-da-lat-212.html,room_detail_6538_2_,Phòng Superior,"[""28m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng vườn"", ""2 giường đơn / 1 giường đôi""]",28.0,2,2,2 giường đơn / 1 giường đôi,Hướng vườn,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7294590dcf.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7294590d44.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7294590cb9.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7294590c2b.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7294590b8f.jpg""]"
80c248dd5eb3,025416558ee11fc3f41814a0,https://www.bestprice.vn/khach-san/muong-thanh-holiday-da-lat-212.html,room_detail_6539_2_,Phòng Deluxe,"[""0m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng vườn"", ""2 giường đơn / 1 giường đôi""]",0.0,2,2,2 giường đơn / 1 giường đôi,Hướng vườn,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7295721104.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7295721191.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7295721067.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e729572121d.jpg""]"
80c248dd5eb3,025416558ee11fc3f41814a0,https://www.bestprice.vn/khach-san/muong-thanh-holiday-da-lat-212.html,room_detail_6540_3_,Phòng Deluxe Triple,"[""54m 2"", ""3 người lớn, 2 trẻ em"", ""Hướng vườn"", ""1 Giường đôi & 2 Giường đơn""]",54.0,3,2,1 Giường đôi & 2 Giường đơn,Hướng vườn,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e72965d45bd.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e72965d4658.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e72965d46e5.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e72965d4771.jpg""]"
80c248dd5eb3,025416558ee11fc3f41814a0,https://www.bestprice.vn/khach-san/muong-thanh-holiday-da-lat-212.html,room_detail_6541_2_,Phòng Excutive Suite,"[""70m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng thành phố"", ""1 giường lớn""]",70.0,2,2,1 giường lớn,Hướng thành phố,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7297529592.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e729752962c.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e72975296b9.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/muong-thanh-holiday-da-lat-64e7297529745.jpg""]"
80c248dd5eb3,02f55a1f429997e624b5defa,https://www.bestprice.vn/khach-san/melia-vinpearl-ha-tinh-1401.html,room_detail_6066_2_,Deluxe Room,"[""30m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng thành phố"", ""2 giường đơn / 1 giường đôi""]",30.0,2,2,2 giường đơn / 1 giường đôi,Hướng thành phố,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-hotel-ha-tinh-5f3f2efb8062a.jpg""]"
80c248dd5eb3,02f55a1f429997e624b5defa,https://www.bestprice.vn/khach-san/melia-vinpearl-ha-tinh-1401.html,room_detail_18652_2_,Deluxe Corner Room,"[""30m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng thành phố"", ""2 giường đơn / 1 giường đôi""]",30.0,2,2,2 giường đơn / 1 giường đôi,Hướng thành phố,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-hotel-ha-tinh-5f3f2efb806b1.jpg""]"
80c248dd5eb3,02f55a1f429997e624b5defa,https://www.bestprice.vn/khach-san/melia-vinpearl-ha-tinh-1401.html,room_detail_6441_2_,Premium Room,"[""39m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng thành phố"", ""2 giường đơn / 1 giường đôi""]",39.0,2,2,2 giường đơn / 1 giường đôi,Hướng thành phố,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-hotel-ha-tinh-5f3f2f5535e0b.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-hotel-ha-tinh-5f3f2f5535ebe.jpg""]"
80c248dd5eb3,02f55a1f429997e624b5defa,https://www.bestprice.vn/khach-san/melia-vinpearl-ha-tinh-1401.html,room_detail_18653_2_,Premium Corner Room,"[""39m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng thành phố"", ""2 giường đơn / 1 giường đôi""]",39.0,2,2,2 giường đơn / 1 giường đôi,Hướng thành phố,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-hotel-ha-tinh-5f3f2f5535f3e.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-hotel-ha-tinh-5f3f2f5535ebe.jpg""]"
80c248dd5eb3,02f55a1f429997e624b5defa,https://www.bestprice.vn/khach-san/melia-vinpearl-ha-tinh-1401.html,room_detail_6067_2_,Suite Room,"[""73m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng thành phố"", ""1 giường lớn""]",73.0,2,2,1 giường lớn,Hướng thành phố,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-hotel-ha-tinh-5f3f3177549f8.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-hotel-ha-tinh-5f3f317754aa5.jpg""]"
80c248dd5eb3,03df2e1042d51c21ba040502,https://www.bestprice.vn/khach-san/vinpearl-resort-nha-trang-13.html,room_detail_20279_2_,Deluxe Queen Room,"[""35m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng vườn"", ""1 giường đôi""]",35.0,2,2,1 giường đôi,Hướng vườn,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-resort-nha-trang-65cf0f89b34f4.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-resort-nha-trang-65cf0f89b3681.jpg""]"
80c248dd5eb3,03df2e1042d51c21ba040502,https://www.bestprice.vn/khach-san/vinpearl-resort-nha-trang-13.html,room_detail_42_2_,Deluxe Twin Room,"[""32m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng núi"", ""2 giường đơn""]",32.0,2,2,2 giường đơn,Hướng núi,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-resort-nha-trang-65cf0f89b3578.jpg"", ""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-resort-nha-trang-65cf0f89b325d.jpg""]"
80c248dd5eb3,03df2e1042d51c21ba040502,https://www.bestprice.vn/khach-san/vinpearl-resort-nha-trang-13.html,room_detail_20282_2_,Deluxe Queen Ocean View,"[""32m 2"", ""2 người lớn, 2 trẻ em"", ""Hướng biển"", ""1 giường lớn""]",32.0,2,2,1 giường lớn,Hướng biển,True,1,"[""https://owa.bestprice.vn/images/hotels/uploads/vinpearl-resort-nha-trang-634293ad34037.jpg""]"
